Iteration,Frame,WindowSize,Image,CleanSA,PerturbedSA,AbsDiff,PercentDiff
136,135,136,10685.jpg,-0.126038,-0.142860,-0.016823,13.35
137,136,137,10686.jpg,-0.157347,0.040436,0.197783,-125.70
138,137,138,10687.jpg,-0.220480,-0.251379,-0.030899,14.01
139,138,139,10688.jpg,-0.150871,-0.157776,-0.006905,4.58
140,139,140,10689.jpg,-0.043364,-0.155058,-0.111694,257.58
141,140,141,10690.jpg,-0.184708,-0.209589,-0.024881,13.47
142,141,142,10691.jpg,-0.030642,-0.066338,-0.035696,116.50
143,142,143,10692.jpg,-0.112801,-0.103235,0.009565,-8.48
144,143,144,10693.jpg,0.023699,0.033970,0.010271,43.34
145,144,145,10694.jpg,-0.077467,-0.134230,-0.056763,73.27
146,145,146,10695.jpg,-0.121174,-0.042639,0.078535,-64.81
147,146,147,10696.jpg,-0.065556,-0.100918,-0.035362,53.94
148,147,148,10697.jpg,-0.115299,-0.027847,0.087452,-75.85
149,148,149,10698.jpg,-0.130434,0.028439,0.158873,-121.80
150,149,150,10699.jpg,-0.286684,-0.134420,0.152264,-53.11
151,150,151,10700.jpg,-0.256662,-0.096216,0.160446,-62.51
152,151,152,10701.jpg,-0.078831,-0.137157,-0.058327,73.99
153,152,153,10702.jpg,-0.010653,-0.242462,-0.231810,2176.10
154,153,154,10703.jpg,-0.173578,-0.141249,0.032330,-18.63
155,154,155,10704.jpg,0.006180,-0.152283,-0.158463,-2564.20
156,155,156,10705.jpg,-0.027351,-0.232763,-0.205412,751.01
157,156,157,10706.jpg,-0.139380,-0.116501,0.022879,-16.41
158,157,158,10707.jpg,-0.091944,-0.119295,-0.027351,29.75
159,158,159,10708.jpg,-0.114794,-0.046091,0.068703,-59.85
160,159,160,10709.jpg,-0.089502,-0.186958,-0.097456,108.89
161,160,161,10710.jpg,0.004692,-0.129490,-0.134182,-2859.76
162,161,162,10711.jpg,0.051174,0.061884,0.010710,20.93
163,162,163,10712.jpg,-0.012016,-0.191250,-0.179234,1491.59
164,163,164,10713.jpg,-0.157423,-0.146933,0.010490,-6.66
165,164,165,10714.jpg,-0.050812,0.041380,0.092192,-181.44
166,165,166,10715.jpg,-0.064116,-0.172253,-0.108137,168.66
167,166,167,10716.jpg,-0.104990,-0.063124,0.041866,-39.88
168,167,168,10717.jpg,-0.013380,-0.138588,-0.125208,935.78
169,168,169,10718.jpg,0.029373,-0.085468,-0.114841,-390.97
170,169,170,10719.jpg,-0.071611,-0.026073,0.045538,-63.59
171,170,171,10720.jpg,-0.069904,0.036573,0.106478,-152.32
172,171,172,10721.jpg,-0.067663,-0.148678,-0.081015,119.73
173,172,173,10722.jpg,0.003176,-0.010757,-0.013933,-438.74
174,173,174,10723.jpg,-0.011406,0.005751,0.017157,-150.42
175,174,175,10724.jpg,0.004120,-0.161800,-0.165920,-4027.31
176,175,176,10725.jpg,-0.010014,0.060549,0.070562,-704.67
177,176,177,10726.jpg,0.049524,0.077515,0.027990,56.52
178,177,178,10727.jpg,0.008268,0.016594,0.008326,100.69
179,178,179,10728.jpg,0.007334,0.039597,0.032263,439.92
180,179,180,10729.jpg,0.003586,0.013943,0.010357,288.83
181,180,181,10730.jpg,-0.018997,-0.065231,-0.046234,243.37
182,181,182,10731.jpg,0.044918,-0.054655,-0.099573,-221.68
183,182,183,10732.jpg,0.088940,0.125084,0.036144,40.64
184,183,184,10733.jpg,-0.058556,-0.046415,0.012140,-20.73
185,184,185,10734.jpg,-0.012608,-0.087948,-0.075340,597.58
186,185,186,10735.jpg,-0.053587,-0.029259,0.024328,-45.40
187,186,187,10736.jpg,-0.110502,0.030460,0.140963,-127.57
188,187,188,10737.jpg,0.000820,-0.009537,-0.010357,-1262.79
189,188,189,10738.jpg,-0.069494,0.017233,0.086727,-124.80
190,189,190,10739.jpg,-0.055780,-0.056334,-0.000553,0.99
191,190,191,10740.jpg,-0.069113,0.017471,0.086584,-125.28
192,191,192,10741.jpg,0.124998,0.018406,-0.106592,-85.28
193,192,193,10742.jpg,0.090656,0.015402,-0.075254,-83.01
194,193,194,10743.jpg,0.068245,-0.032864,-0.101109,-148.16
195,194,195,10744.jpg,0.005827,-0.032902,-0.038729,-664.65
196,195,196,10745.jpg,0.023088,0.036488,0.013399,58.03
197,196,197,10746.jpg,-0.027418,-0.049257,-0.021839,79.65
